genes,weights
ENSMUSG00000117465,1.0
ENSMUSG00000096753,1.0
ENSMUSG00000100157,1.0
ENSMUSG00000025329,1.0
ENSMUSG00000116380,1.0
ENSMUSG00000103206,1.0
ENSMUSG00000030446,1.0
ENSMUSG00000022248,1.0
ENSMUSG00000082305,1.0
ENSMUSG00000095960,1.0
ENSMUSG00000106858,1.0
ENSMUSG00000063522,0.95
ENSMUSG00000114442,0.95
ENSMUSG00000025876,0.95
ENSMUSG00000030228,0.95
ENSMUSG00000116953,0.95
ENSMUSG00000113394,0.9
ENSMUSG00002076925,0.9
ENSMUSG00000053889,0.8
ENSMUSG00000092253,0.8
ENSMUSG00000066613,0.8
ENSMUSG00002075124,0.8
ENSMUSG00000067795,0.8
ENSMUSG00000043782,0.8
ENSMUSG00000110303,0.75
ENSMUSG00000022441,0.75
ENSMUSG00000069867,0.75
ENSMUSG00000086839,0.75
ENSMUSG00000083208,0.75
ENSMUSG00000087222,0.75
ENSMUSG00000071237,0.7
ENSMUSG00000103098,0.7
ENSMUSG00000034587,0.65
ENSMUSG00000085491,0.65
ENSMUSG00000099397,0.65
ENSMUSG00000114433,0.6
ENSMUSG00000039007,0.6
ENSMUSG00000102523,0.6
ENSMUSG00000064954,0.6
ENSMUSG00000020072,0.6
ENSMUSG00000097177,0.6
ENSMUSG00000114677,0.6
ENSMUSG00000116895,0.6
ENSMUSG00000112135,0.55
ENSMUSG00000109083,0.55
ENSMUSG00000026502,0.55
ENSMUSG00000095987,0.55
ENSMUSG00000085897,0.55
ENSMUSG00000113273,0.55
ENSMUSG00000096486,0.55
ENSMUSG00000042788,0.55
ENSMUSG00000094559,0.5
ENSMUSG00000035576,0.5
ENSMUSG00000109209,0.5
ENSMUSG00000012211,0.5
ENSMUSG00000098224,0.5
ENSMUSG00000090095,0.5
ENSMUSG00000090802,0.5
ENSMUSG00000113050,0.5
ENSMUSG00000061959,0.5
ENSMUSG00000088478,0.5
ENSMUSG00000058246,0.5
ENSMUSG00000090136,0.5
ENSMUSG00000032172,0.5
ENSMUSG00000119114,0.45
ENSMUSG00000118178,0.45
ENSMUSG00000110631,0.45
ENSMUSG00000115538,0.45
ENSMUSG00000105283,0.45
ENSMUSG00000015659,0.45
ENSMUSG00000084215,0.45
ENSMUSG00000114387,0.45
ENSMUSG00000020431,0.45
ENSMUSG00000092224,0.45
ENSMUSG00000106380,0.45
ENSMUSG00000117358,0.45
ENSMUSG00000039496,0.45
ENSMUSG00000112828,0.45
ENSMUSG00000086166,0.45
ENSMUSG00000085014,0.4
ENSMUSG00000087512,0.4
ENSMUSG00000090118,0.4
ENSMUSG00000051900,0.4
ENSMUSG00000020839,0.4
ENSMUSG00000113949,0.4
ENSMUSG00000086224,0.4
ENSMUSG00000055188,0.4
ENSMUSG00000074252,0.4
ENSMUSG00000089542,0.4
ENSMUSG00000094374,0.4
ENSMUSG00000033356,0.4
ENSMUSG00000031156,0.4
ENSMUSG00000097276,0.4
ENSMUSG00000097343,0.4
ENSMUSG00000107108,0.4
ENSMUSG00000115469,0.4
ENSMUSG00000027801,0.4
ENSMUSG00000104064,0.4
ENSMUSG00000106334,0.4
ENSMUSG00000079507,0.35
ENSMUSG00000081084,0.35
ENSMUSG00000104432,0.35
ENSMUSG00000104548,0.35
ENSMUSG00000073374,0.35
ENSMUSG00002076082,0.35
ENSMUSG00000051133,0.35
ENSMUSG00000033731,0.35
ENSMUSG00000104324,0.35
ENSMUSG00000103696,0.35
ENSMUSG00000108987,0.35
ENSMUSG00000106550,0.35
ENSMUSG00000114019,0.35
ENSMUSG00000045394,0.35
ENSMUSG00000039238,0.35
ENSMUSG00000109572,0.35
ENSMUSG00000074824,0.35
ENSMUSG00000099775,0.35
ENSMUSG00000114805,0.35
ENSMUSG00000054966,0.35
ENSMUSG00000076762,0.35
ENSMUSG00000100629,0.3
ENSMUSG00000115235,0.3
ENSMUSG00000118436,0.3
ENSMUSG00000114135,0.3
ENSMUSG00000049526,0.3
ENSMUSG00000096284,0.3
ENSMUSG00000022303,0.3
ENSMUSG00000025008,0.3
ENSMUSG00000085448,0.3
ENSMUSG00000091742,0.3
ENSMUSG00000114424,0.3
ENSMUSG00000035199,0.3
ENSMUSG00000106855,0.3
ENSMUSG00000023452,0.3
ENSMUSG00000110694,0.3
ENSMUSG00000077711,0.3
ENSMUSG00000036500,0.3
ENSMUSG00000101082,0.3
ENSMUSG00000046402,0.3
ENSMUSG00000047150,0.3
ENSMUSG00000117484,0.25
ENSMUSG00000115279,0.25
ENSMUSG00000106592,0.25
ENSMUSG00000097261,0.25
ENSMUSG00000109317,0.25
ENSMUSG00000111748,0.25
ENSMUSG00000106069,0.25
ENSMUSG00000105389,0.25
ENSMUSG00000070522,0.25
ENSMUSG00000069971,0.25
ENSMUSG00000110666,0.25
ENSMUSG00000115186,0.25
ENSMUSG00000100212,0.25
ENSMUSG00000078773,0.25
ENSMUSG00000005225,0.25
ENSMUSG00000055110,0.25
ENSMUSG00000039740,0.25
ENSMUSG00000034732,0.25
ENSMUSG00000100287,0.25
ENSMUSG00000084362,0.25
ENSMUSG00000032023,0.25
ENSMUSG00000022821,0.25
ENSMUSG00000103904,0.25
ENSMUSG00000111004,0.25
ENSMUSG00000074254,0.25
ENSMUSG00000116122,0.25
ENSMUSG00000079577,0.25
ENSMUSG00000112160,0.25
ENSMUSG00000086740,0.25
ENSMUSG00000027555,0.25
ENSMUSG00000040124,0.25
ENSMUSG00000103355,0.2
ENSMUSG00000101937,0.2
ENSMUSG00000118751,0.2
ENSMUSG00000065208,0.2
ENSMUSG00000111926,0.2
ENSMUSG00000037568,0.2
ENSMUSG00000003135,0.2
ENSMUSG00000106332,0.2
ENSMUSG00000092819,0.2
ENSMUSG00000031125,0.2
ENSMUSG00000029848,0.2
ENSMUSG00000107608,0.2
ENSMUSG00000071073,0.2
ENSMUSG00000085088,0.2
ENSMUSG00000092366,0.2
ENSMUSG00000103324,0.2
ENSMUSG00000038541,0.2
ENSMUSG00000112984,0.2
ENSMUSG00000039545,0.2
ENSMUSG00000003038,0.2
ENSMUSG00000033434,0.2
ENSMUSG00000093650,0.2
ENSMUSG00000083832,0.2
ENSMUSG00000112843,0.2
ENSMUSG00000041815,0.2
ENSMUSG00000085085,0.2
ENSMUSG00000025010,0.2
ENSMUSG00000041670,0.2
ENSMUSG00000046242,0.2
ENSMUSG00000112936,0.2
ENSMUSG00000109333,0.2
ENSMUSG00000042118,0.2
ENSMUSG00002075075,0.2
ENSMUSG00000032965,0.2
ENSMUSG00000025909,0.2
ENSMUSG00000032625,0.2
ENSMUSG00000070806,0.2
ENSMUSG00000066478,0.2
ENSMUSG00000064345,0.2
ENSMUSG00000081769,0.2
ENSMUSG00000038020,0.2
ENSMUSG00000028370,0.2
ENSMUSG00000033439,0.2
ENSMUSG00000020354,0.2
ENSMUSG00000064943,0.2
ENSMUSG00000108431,0.2
ENSMUSG00000114568,0.2
ENSMUSG00000053070,0.2
ENSMUSG00000034918,0.2
ENSMUSG00000085918,0.2
ENSMUSG00000021147,0.2
ENSMUSG00000119255,0.2
ENSMUSG00002076221,0.2
ENSMUSG00000113188,0.2
ENSMUSG00000069804,0.2
ENSMUSG00000091476,0.15
