genes,weights
ENSMUSG00000114677,1.0
ENSMUSG00000096284,1.0
ENSMUSG00000067795,1.0
ENSMUSG00000097276,1.0
ENSMUSG00000095960,1.0
ENSMUSG00000103206,1.0
ENSMUSG00000109572,0.95
ENSMUSG00000037568,0.95
ENSMUSG00000092224,0.95
ENSMUSG00000046402,0.9
ENSMUSG00000084404,0.9
ENSMUSG00000097343,0.85
ENSMUSG00000053889,0.85
ENSMUSG00000104064,0.85
ENSMUSG00000119114,0.85
ENSMUSG00000074252,0.8
ENSMUSG00000095987,0.8
ENSMUSG00000114442,0.8
ENSMUSG00000025876,0.8
ENSMUSG00000088639,0.75
ENSMUSG00000034587,0.7
ENSMUSG00000099474,0.7
ENSMUSG00000108083,0.7
ENSMUSG00000116380,0.7
ENSMUSG00000069971,0.7
ENSMUSG00000115538,0.7
ENSMUSG00000083208,0.7
ENSMUSG00000116895,0.65
ENSMUSG00000119255,0.65
ENSMUSG00000041930,0.65
ENSMUSG00000079507,0.65
ENSMUSG00000084215,0.65
ENSMUSG00002075124,0.65
ENSMUSG00000072612,0.65
ENSMUSG00000027555,0.65
ENSMUSG00000114118,0.6
ENSMUSG00000112836,0.6
ENSMUSG00000040495,0.6
ENSMUSG00000063971,0.6
ENSMUSG00000096486,0.6
ENSMUSG00000078490,0.6
ENSMUSG00000117578,0.6
ENSMUSG00000082220,0.6
ENSMUSG00000109317,0.6
ENSMUSG00000114135,0.6
ENSMUSG00000087512,0.6
ENSMUSG00000055188,0.55
ENSMUSG00000096753,0.55
ENSMUSG00000012211,0.55
ENSMUSG00000110303,0.55
ENSMUSG00000092366,0.55
ENSMUSG00000038020,0.55
ENSMUSG00000075553,0.55
ENSMUSG00000005225,0.55
ENSMUSG00000110617,0.55
ENSMUSG00000021147,0.55
ENSMUSG00000051133,0.55
ENSMUSG00000037798,0.5
ENSMUSG00000077711,0.5
ENSMUSG00000033731,0.5
ENSMUSG00000086166,0.5
ENSMUSG00000097546,0.5
ENSMUSG00000085762,0.5
ENSMUSG00000096437,0.5
ENSMUSG00000031861,0.5
ENSMUSG00000094559,0.5
ENSMUSG00000101937,0.5
ENSMUSG00000078173,0.5
ENSMUSG00000114622,0.5
ENSMUSG00000112828,0.5
ENSMUSG00000100362,0.5
ENSMUSG00000045394,0.5
ENSMUSG00002076859,0.5
ENSMUSG00000110706,0.5
ENSMUSG00000115738,0.45
ENSMUSG00000020383,0.45
ENSMUSG00000080730,0.45
ENSMUSG00000031156,0.45
ENSMUSG00000082576,0.45
ENSMUSG00000116953,0.45
ENSMUSG00000024600,0.45
ENSMUSG00000084413,0.45
ENSMUSG00000103513,0.45
ENSMUSG00000053603,0.45
ENSMUSG00000105597,0.45
ENSMUSG00000106671,0.45
ENSMUSG00000015966,0.45
ENSMUSG00000025008,0.45
ENSMUSG00000111104,0.45
ENSMUSG00000117358,0.45
ENSMUSG00000009471,0.45
ENSMUSG00000063511,0.4
ENSMUSG00000108840,0.4
ENSMUSG00000103961,0.4
ENSMUSG00000092253,0.4
ENSMUSG00002075553,0.4
ENSMUSG00000117465,0.4
ENSMUSG00000058328,0.4
ENSMUSG00000078898,0.4
ENSMUSG00000102690,0.4
ENSMUSG00000047822,0.4
ENSMUSG00000073607,0.4
ENSMUSG00000102447,0.4
ENSMUSG00000027801,0.4
ENSMUSG00000063157,0.4
ENSMUSG00000083280,0.4
ENSMUSG00000087135,0.4
ENSMUSG00000114433,0.4
